,Binaria,Ordinal,rpb
115,D1,Tempo_dor_costas,0.362036041
116,D1,Tempo_dor_pernas,-0.376736483
117,D1,Andar_velocidade,-0.441280273
118,D1,Dor_costas_VAS,0.389315962
119,D1,Dor_pernas_VAS,-0.291130992
120,D1,IDADE,0.217809577
121,D1,BPI_3_v1,0.355392112
122,D1,BPI_4_v1,0.30201409
123,D1,BPI_5_v1,0.218231809
124,D1,BPI_6_v1,0.402852226
125,D1,BPI_8_v1,-0.45824766
126,D1,BPI_9a_v1,0.4103748
127,D1,BPI_9b_v1,0.512377844
128,D1,BPI_9c_v1,0.544174585
129,D1,BPI_9d_v1,0.612165027
130,D1,BPI_9e_v1,0.371306504
131,D1,BPI_9f_v1,0.639106325
132,D1,BPI_9g_v1,0.596794068
133,D15,Se_SP_haquantosanos,-0.537046969
134,D15,QtCirColuna,0.473694192
135,D15,Trabalho_Cansativo,-0.173126801
136,D15,Licenca_Tempo,NA
137,D15,Tempo_dor_costas,-0.029963864
138,D15,Tempo_dor_pernas,0.186422216
139,D15,Andar_velocidade,0.140878209
140,D15,Dor_costas_VAS,0.040196684
141,D15,Dor_pernas_VAS,0.42491217
142,D15,IDADE,-0.061299495
143,D15,BPI_3_v1,0.27439266
144,D15,BPI_4_v1,0.186598816
145,D15,BPI_5_v1,0.20762228
146,D15,BPI_6_v1,-0.013878288
147,D15,BPI_8_v1,0.208795422
148,D15,BPI_9a_v1,0.391731452
149,D15,BPI_9b_v1,0.437310728
150,D15,BPI_9c_v1,0.308279483
151,D15,BPI_9d_v1,0.233232098
152,D15,BPI_9e_v1,0.445405165
153,D15,BPI_9f_v1,0.329357492
154,D15,BPI_9g_v1,0.106529975
155,D16,Se_SP_haquantosanos,0.405815068
156,D16,QtCirColuna,0.405479914
157,D16,Trabalho_Cansativo,-0.158103787
158,D16,Licenca_Tempo,-0.395458746
159,D16,Tempo_dor_costas,0.29683261
160,D16,Tempo_dor_pernas,0.31023494
161,D16,Andar_velocidade,-0.246223749
162,D16,Dor_costas_VAS,0.359307016
163,D16,Dor_pernas_VAS,0.580728281
164,D16,IDADE,0.198751234
165,D16,BPI_3_v1,0.407906976
166,D16,BPI_4_v1,0.404718236
167,D16,BPI_5_v1,0.519744115
168,D16,BPI_6_v1,0.386874384
169,D16,BPI_8_v1,-0.084307593
170,D16,BPI_9a_v1,0.269019885
171,D16,BPI_9b_v1,0.29652211
172,D16,BPI_9c_v1,0.266384292
173,D16,BPI_9d_v1,0.27697027
174,D16,BPI_9e_v1,0.332316537
175,D16,BPI_9f_v1,0.270887395
176,D16,BPI_9g_v1,0.320036113
177,D17,Se_SP_haquantosanos,-0.47487842
178,D17,QtCirColuna,-0.208902754
179,D17,Trabalho_Cansativo,0.170855046
180,D17,Licenca_Tempo,NA
181,D17,Tempo_dor_costas,-0.036911653
182,D17,Tempo_dor_pernas,-0.209108048
183,D17,Andar_velocidade,0.085730668
