"","denominador","numerador","Frequência","P-value","Qtd_1_Denom","Qtd_0_Demon","D0N0","D0N1","D1N0","D1N1"
"8462","RMDQ12_v1","RMDQ17_v1",0.75,5.5520928346739e-21,44,176,160,16,11,33
"8463","RMDQ13_v1","RMDQ17_v1",0.739130434782609,2.92919435879067e-21,46,174,159,15,12,34
"8464","RMDQ14_v1","RMDQ17_v1",0.673469387755102,7.87915863197901e-18,49,171,155,16,16,33
"8471","RMDQ21_v1","RMDQ17_v1",0.75,3.09645348653985e-23,48,172,159,13,12,36
"8860","RMDQ6_v1","RMDQ21_v1",0.625,1.37369259993242e-17,56,164,151,13,21,35
"8867","RMDQ13_v1","RMDQ21_v1",0.717391304347826,3.02717342793665e-20,46,174,159,15,13,33
"8868","RMDQ14_v1","RMDQ21_v1",0.73469387755102,3.09645348653985e-23,49,171,159,12,13,36
"8871","RMDQ17_v1","RMDQ21_v1",0.73469387755102,3.09645348653985e-23,49,171,159,12,13,36
"9198","Analgésicos","DN4 - Queimação",0.548148148148148,0.00120430910508866,135,63,44,19,61,74
"9200","Dor nas costas","DN4 - Queimação",0.504273504273504,0.0498363660707855,117,75,48,27,58,59
"9201","Dor nas pernas","DN4 - Queimação",0.639344262295082,0.000252531915555172,61,129,83,46,22,39
"9232","Lombalgia","DN4 - Queimação",0.553571428571429,0.0302170854629842,56,62,40,22,25,31
"9247","D44","DN4 - Queimação",0.594594594594595,0.0318150511689424,37,81,50,31,15,22
"9249","D46","DN4 - Queimação",0.621621621621622,0.0109075767241013,37,81,51,30,14,23
"9285","DN4 - Choque elétrico","DN4 - Queimação",0.754098360655738,5.36553095247014e-08,61,159,104,55,15,46
"9287","DN4 - Alfinetada e agulhada","DN4 - Queimação",0.707692307692308,1.65331938547108e-06,65,155,100,55,19,46
"9288","DN4 - Adormecimento","DN4 - Queimação",0.741935483870968,1.33704054779248e-07,62,158,103,55,16,46
"9488","DN4 - Formigamento","DN4 - Choque elétrico",0.631578947368421,2.0918433724917e-12,57,166,141,25,21,36
"9489","DN4 - Alfinetada e agulhada","DN4 - Choque elétrico",0.646153846153846,1.18439795593978e-15,65,158,139,19,23,42
"9490","DN4 - Adormecimento","DN4 - Choque elétrico",0.532258064516129,1.20718350861482e-07,62,158,130,28,29,33
"9588","DN4 - Choque elétrico","DN4 - Formigamento",0.590163934426229,2.0918433724917e-12,61,162,141,21,25,36
"9590","DN4 - Alfinetada e agulhada","DN4 - Formigamento",0.569230769230769,5.71396174936494e-12,65,158,138,20,28,37
"9673","RMDQ11_v1","DN4 - Alfinetada e agulhada",0.542857142857143,0.000365088140169493,35,177,134,43,16,19
"9689","DN4 - Choque elétrico","DN4 - Alfinetada e agulhada",0.688524590163934,1.18439795593978e-15,61,162,139,23,19,42
"9690","DN4 - Formigamento","DN4 - Alfinetada e agulhada",0.649122807017544,5.71396174936494e-12,57,166,138,28,20,37
"9692","DN4 - Adormecimento","DN4 - Alfinetada e agulhada",0.596774193548387,8.44681152830884e-10,62,158,130,28,25,37
"9790","DN4 - Choque elétrico","DN4 - Adormecimento",0.540983606557377,1.20718350861482e-07,61,159,130,29,28,33
"9792","DN4 - Alfinetada e agulhada","DN4 - Adormecimento",0.569230769230769,8.44681152830884e-10,65,155,130,25,28,37
