"","demonimador","numerador","Frequência","Qtd_1_Denom","Qtd_0_Demon","D0N0","D0N1","D1N0","D1N1"
"70","RMDQ7_v1","Livrar_costas","0.923076923076923","26","97","14","83","2","24"
"71","RMDQ8_v1","Livrar_costas","1","7","116","16","100","0","7"
"72","RMDQ9_v1","Livrar_costas","0.909090909090909","22","101","14","87","2","20"
"73","RMDQ10_v1","Livrar_costas","0.925925925925926","27","96","14","82","2","25"
"74","RMDQ11_v1","Livrar_costas","0.925925925925926","27","96","14","82","2","25"
"75","RMDQ12_v1","Livrar_costas","0.931034482758621","29","94","14","80","2","27"
"76","RMDQ13_v1","Livrar_costas","0.928571428571429","28","95","14","81","2","26"
"77","RMDQ14_v1","Livrar_costas","0.90625","32","91","13","78","3","29"
"78","RMDQ15_v1","Livrar_costas","0.833333333333333","18","105","13","92","3","15"
"79","RMDQ16_v1","Livrar_costas","0.91304347826087","23","100","14","86","2","21"
"80","RMDQ17_v1","Livrar_costas","0.923076923076923","26","97","14","83","2","24"
"81","RMDQ18_v1","Livrar_costas","0.875","24","99","13","86","3","21"
"82","RMDQ19_v1","Livrar_costas","0.9","20","103","14","89","2","18"
"83","RMDQ20_v1","Livrar_costas","0.916666666666667","24","99","14","85","2","22"
"84","RMDQ21_v1","Livrar_costas","0.9375","32","91","14","77","2","30"
"85","RMDQ22_v1","Livrar_costas","0.909090909090909","22","101","14","87","2","20"
"86","RMDQ23_v1","Livrar_costas","0.916666666666667","24","99","14","85","2","22"
"87","RMDQ24_v1","Livrar_costas","0.91304347826087","23","100","14","86","2","21"
"88","Dor_costas","Livrar_perna","0.0720720720720721","111","16","10","6","103","8"
"89","Dor_pernas","Livrar_perna","0.228070175438596","57","68","67","1","44","13"
"90","Livrar_costas","Livrar_perna","0","112","16","2","14","112","0"
"91","Livrar_perna","Livrar_perna","1","14","114","114","0","0","14"
"92","D30","Livrar_perna","0.163934426229508","61","39","35","4","51","10"
"93","RMDQ1_v1","Livrar_perna","0.0980392156862745","51","71","62","9","46","5"
"94","RMDQ2_v1","Livrar_perna","0.0892857142857143","56","66","57","9","51","5"
"95","RMDQ3_v1","Livrar_perna","0.0638297872340425","47","77","66","11","44","3"
"96","RMDQ4_v1","Livrar_perna","0.0303030303030303","33","91","78","13","32","1"
"97","RMDQ5_v1","Livrar_perna","0.0731707317073171","41","83","72","11","38","3"
"98","RMDQ6_v1","Livrar_perna","0.0909090909090909","33","91","80","11","30","3"
"99","RMDQ7_v1","Livrar_perna","0.0769230769230769","26","97","85","12","24","2"
"100","RMDQ8_v1","Livrar_perna","0","7","116","102","14","7","0"
"101","RMDQ9_v1","Livrar_perna","0.0909090909090909","22","101","89","12","20","2"
"102","RMDQ10_v1","Livrar_perna","0.0740740740740741","27","96","84","12","25","2"
"103","RMDQ11_v1","Livrar_perna","0.0740740740740741","27","96","84","12","25","2"
"104","RMDQ12_v1","Livrar_perna","0.0689655172413793","29","94","82","12","27","2"
"105","RMDQ13_v1","Livrar_perna","0.0714285714285714","28","95","83","12","26","2"
"106","RMDQ14_v1","Livrar_perna","0.0625","32","91","79","12","30","2"
"107","RMDQ15_v1","Livrar_perna","0.111111111111111","18","105","93","12","16","2"
"108","RMDQ16_v1","Livrar_perna","0.0869565217391304","23","100","88","12","21","2"
"109","RMDQ17_v1","Livrar_perna","0.0769230769230769","26","97","85","12","24","2"
"110","RMDQ18_v1","Livrar_perna","0.125","24","99","88","11","21","3"
"111","RMDQ19_v1","Livrar_perna","0.1","20","103","91","12","18","2"
"112","RMDQ20_v1","Livrar_perna","0.0833333333333333","24","99","87","12","22","2"
"113","RMDQ21_v1","Livrar_perna","0.0625","32","91","79","12","30","2"
"114","RMDQ22_v1","Livrar_perna","0.0909090909090909","22","101","89","12","20","2"
"115","RMDQ23_v1","Livrar_perna","0.0833333333333333","24","99","87","12","22","2"
"116","RMDQ24_v1","Livrar_perna","0.0869565217391304","23","100","88","12","21","2"
"117","Dor_costas","D30","0.615384615384615","91","37","32","5","35","56"
"118","Dor_pernas","D30","0.727272727272727","55","72","51","21","15","40"
"119","Livrar_costas","D30","0.593023255813954","86","14","4","10","35","51"
"120","Livrar_perna","D30","0.714285714285714","14","86","35","51","4","10"
"121","D30","D30","1","62","74","74","0","0","62"
"122","RMDQ1_v1","D30","0.627906976744186","43","73","39","34","16","27"
"123","RMDQ2_v1","D30","0.595744680851064","47","69","36","33","19","28"
"124","RMDQ3_v1","D30","0.666666666666667","36","82","44","38","12","24"
"125","RMDQ4_v1","D30","0.576923076923077","26","92","45","47","11","15"
"126","RMDQ5_v1","D30","0.727272727272727","33","85","47","38","9","24"
"127","RMDQ6_v1","D30","0.689655172413793","29","89","47","42","9","20"
"128","RMDQ7_v1","D30","0.65","20","97","49","48","7","13"
"129","RMDQ8_v1","D30","0.75","4","113","55","58","1","3"
"130","RMDQ9_v1","D30","0.666666666666667","18","99","50","49","6","12"
"131","RMDQ10_v1","D30","0.681818181818182","22","95","49","46","7","15"
