demonimador,numerador,Frequência,Qtd_0_Denom,Qtd_1_Denom,D0N0,D0N1,D1N0,D1N1
D30,D30,1,74,62,74,0,0,62
D30,Dor_costas,0.918032787,67,61,32,35,5,56
D30,Analg.e9.sicos,0.85483871,68,62,33,35,9,53
D30,Livrar_costas,0.836065574,39,61,4,35,10,51
D30,Masc,0.677419355,74,62,28,46,20,42
D30,Dor_pernas,0.655737705,66,61,51,15,21,40
