"Binaria","Ordinal","rpb","pvalue","Bin_0","Bin_1","Missing"
"RMDQ1_v1","Oswestry10_v1",0.826183251588517,9.32795280355794e-29,134,85,12
"RMDQ1_v1","Somatoria_Owestry",0.729086008833318,2.75412405969612e-21,134,85,12
"RMDQ1_v1","Ord_RMDQ",0.354973761048663,0.000830450751998106,49,85,0
"RMDQ1_v1","SF12_M1_1_v1",0.572338473086826,1.02511678098329e-12,134,85,12
"RMDQ1_v1","SF12_M1_2_v1",-0.61686473962772,8.36619150521016e-15,134,85,12
"RMDQ1_v1","SF12_M1_3_v1",-0.671372228695651,1.03189448561843e-17,134,85,12
"RMDQ1_v1","SF12_M1_4_v1",-0.516206780068894,2.09494954411773e-10,134,85,12
"RMDQ1_v1","SF12_M1_5_v1",-0.585395972124519,2.64960144447183e-13,134,85,12
"RMDQ1_v1","SF12_M1_6_v1",-0.427708844181746,2.14928099385964e-07,134,85,12
"RMDQ1_v1","SF12_M1_7_v1",-0.458403571028616,2.3365042387676e-08,134,85,12
"RMDQ1_v1","SF12_M1_8_v1",0.847868212620281,9.72797629075166e-31,134,85,12
"RMDQ1_v1","SF12_M1_9_v1",-0.812900778604667,1.31943574525931e-27,134,85,12
"RMDQ1_v1","SF12_M1_10_v1",-0.719382067446206,1.20331135197e-20,134,85,12
"RMDQ1_v1","SF12_M1_11_v1",-0.841542117409103,3.80166040627719e-30,134,85,12
"RMDQ1_v1","SF12_M1_12_v1",-0.878697572828705,8.43659797260519e-34,134,85,12
"RMDQ2_v1","Oswestry1_v1",0.662959124895689,1.90805950733137e-17,129,90,12
"RMDQ2_v1","Oswestry2_v1",0.703353584373676,7.14927375766877e-20,129,90,12
"RMDQ2_v1","Oswestry3_v1",0.534737098123273,2.98294496185775e-11,129,90,12
"RMDQ2_v1","Oswestry4_v1",0.620446191695677,3.70156770564756e-15,129,90,12
"RMDQ2_v1","Oswestry5_v1",0.512541473280093,2.24497388246781e-10,129,90,12
"RMDQ2_v1","Oswestry6_v1",0.590404904610551,1.09155594292794e-13,129,90,12
"RMDQ2_v1","Oswestry7_v1",0.634931288073495,6.56790256036724e-16,129,90,12
"RMDQ2_v1","Oswestry8_v1",0.752247759933899,3.44910591689194e-23,129,90,12
"RMDQ2_v1","Oswestry9_v1",0.68472916002818,1.01298841149258e-18,129,90,12
"RMDQ2_v1","Oswestry10_v1",0.796706912573812,1.25415753574674e-26,129,90,12
"RMDQ2_v1","Somatoria_Owestry",0.694149718276661,2.6943539079914e-19,129,90,12
"RMDQ2_v1","Ord_RMDQ",0.372232447574308,0.000528981098674171,44,90,0
"RMDQ2_v1","SF12_M1_1_v1",0.524660670269856,7.56756832490487e-11,129,90,12
"RMDQ2_v1","SF12_M1_2_v1",-0.636152483742951,5.65981378932584e-16,129,90,12
"RMDQ2_v1","SF12_M1_3_v1",-0.677337028316638,2.79804549985127e-18,129,90,12
"RMDQ2_v1","SF12_M1_4_v1",-0.523184790093161,8.65524416385177e-11,129,90,12
"RMDQ2_v1","SF12_M1_5_v1",-0.606928290726096,1.75381200452608e-14,129,90,12
"RMDQ2_v1","SF12_M1_6_v1",-0.467895559816785,9.22951774837855e-09,129,90,12
"RMDQ2_v1","SF12_M1_7_v1",-0.490106266475126,1.53592356066583e-09,129,90,12
"RMDQ2_v1","SF12_M1_8_v1",0.815349721769472,3.29104948897878e-28,129,90,12
"RMDQ2_v1","SF12_M1_9_v1",-0.780564158026359,2.50349294195502e-25,129,90,12
"RMDQ2_v1","SF12_M1_10_v1",-0.750103358052528,4.92945659682922e-23,129,90,12
"RMDQ2_v1","SF12_M1_11_v1",-0.872613462825373,1.12064211572341e-33,129,90,12
"RMDQ2_v1","SF12_M1_12_v1",-0.90335222356823,4.5933049596431e-37,129,90,12
"RMDQ3_v1","Oswestry1_v1",0.67909453653837,2.84914963178918e-17,141,79,12
"RMDQ3_v1","Oswestry2_v1",0.734647154618432,1.50749341189572e-20,141,79,12
"RMDQ3_v1","Oswestry3_v1",0.569610117359425,4.92897356818974e-12,141,79,12
"RMDQ3_v1","Oswestry4_v1",0.706340066736418,8.07302022131859e-19,141,79,12
"RMDQ3_v1","Oswestry5_v1",0.521513824013062,3.72502742427141e-10,141,79,12
"RMDQ3_v1","Oswestry6_v1",0.49300442294607,3.79798008820994e-09,141,79,12
"RMDQ3_v1","Oswestry7_v1",0.57428033378377,3.14618992996803e-12,141,79,12
"RMDQ3_v1","Oswestry8_v1",0.597046842910986,3.26226693695628e-13,141,79,12
"RMDQ3_v1","Oswestry9_v1",0.623703627606456,1.93413721663018e-14,141,79,12
"RMDQ3_v1","Oswestry10_v1",0.613273026820831,5.97742359711954e-14,141,79,12
"RMDQ3_v1","Somatoria_Owestry",0.657478200500001,4.05197320792744e-16,141,79,12
"RMDQ3_v1","Ord_RMDQ",0.706910858725004,1.77812981083496e-12,56,79,0
"RMDQ3_v1","SF12_M1_1_v1",0.583072887221042,1.33161684352031e-12,141,79,12
"RMDQ3_v1","SF12_M1_2_v1",-0.58303586887602,1.33649987858984e-12,141,79,12
"RMDQ3_v1","SF12_M1_3_v1",-0.669250817554741,9.72022040585641e-17,141,79,12
"RMDQ3_v1","SF12_M1_4_v1",-0.54595509166334,4.4204786435283e-11,141,79,12
"RMDQ3_v1","SF12_M1_5_v1",-0.635870126357684,4.99204561975486e-15,141,79,12
"RMDQ3_v1","SF12_M1_6_v1",-0.675658866693431,4.38795921675291e-17,141,79,12
"RMDQ3_v1","SF12_M1_7_v1",-0.705232995153223,9.37729238631569e-19,141,79,12
"RMDQ3_v1","SF12_M1_8_v1",0.532745979319068,1.42214865618739e-10,141,79,12
"RMDQ3_v1","SF12_M1_9_v1",-0.471538641336493,1.95303495565484e-08,141,79,12
"RMDQ3_v1","SF12_M1_10_v1",-0.348965836003789,4.36536496852681e-05,141,79,12
"RMDQ3_v1","SF12_M1_11_v1",-0.512422421636857,7.95882168919374e-10,141,79,12
"RMDQ3_v1","SF12_M1_12_v1",-0.496241448500567,2.94296404071588e-09,141,79,12
"RMDQ4_v1","Oswestry2_v1",0.205400210573321,0.0259053138548106,166,54,12
"RMDQ4_v1","SF12_M1_1_v1",0.302529768843423,0.000955145889907539,166,54,12
"RMDQ4_v1","SF12_M1_2_v1",-0.286498662302347,0.00178252518431314,166,54,12
"RMDQ4_v1","SF12_M1_3_v1",-0.296377639290771,0.00121822485859741,166,54,12
"RMDQ4_v1","SF12_M1_4_v1",-0.288026357865875,0.00168198019576042,166,54,12
"RMDQ4_v1","SF12_M1_5_v1",-0.350648989510759,0.00012016718519271,166,54,12
"RMDQ4_v1","SF12_M1_6_v1",-0.338020323778892,0.000213293308570619,166,54,12
"RMDQ4_v1","SF12_M1_7_v1",-0.373955511046664,3.93515177031676e-05,166,54,12
"RMDQ4_v1","SF12_M1_8_v1",0.252120661862373,0.00610027828525067,166,54,12
"RMDQ4_v1","SF12_M1_11_v1",-0.199074945908267,0.0309063307811895,166,54,12
"RMDQ5_v1","Oswestry1_v1",0.733088656260533,7.23040502344133e-20,148,72,12
"RMDQ5_v1","Oswestry2_v1",0.779200801503991,7.5664125059858e-23,148,72,12
"RMDQ5_v1","Oswestry3_v1",0.617756985049115,8.56788247517345e-14,148,72,12
"RMDQ5_v1","Oswestry4_v1",0.755153075598055,3.00850351564166e-21,148,72,12
"RMDQ5_v1","Oswestry5_v1",0.570859326795178,8.72699144569797e-12,148,72,12
"RMDQ5_v1","Oswestry6_v1",0.522587095924444,5.9512378632824e-10,148,72,12
"RMDQ5_v1","Oswestry7_v1",0.614802599266644,1.16532419153311e-13,148,72,12
"RMDQ5_v1","Oswestry8_v1",0.634331129343429,1.46194950018042e-14,148,72,12
"RMDQ5_v1","Oswestry9_v1",0.662870061846875,5.82746048665066e-16,148,72,12
"RMDQ5_v1","Oswestry10_v1",0.660938855476859,7.30093144584731e-16,148,72,12
"RMDQ5_v1","Somatoria_Owestry",0.704747712564001,3.31561060474005e-18,148,72,12
"RMDQ5_v1","Ord_RMDQ",0.796436629354318,1.39472943711894e-16,63,72,0
"RMDQ5_v1","SF12_M1_1_v1",0.663642391466049,5.32346027589801e-16,148,72,12
"RMDQ5_v1","SF12_M1_2_v1",-0.621497026946503,5.78571050976925e-14,148,72,12
"RMDQ5_v1","SF12_M1_3_v1",-0.705858597273056,2.86877030193266e-18,148,72,12
"RMDQ5_v1","SF12_M1_4_v1",-0.607669047371285,2.42619848147723e-13,148,72,12
"RMDQ5_v1","SF12_M1_5_v1",-0.685035797809716,4.0455986675014e-17,148,72,12
"RMDQ5_v1","SF12_M1_6_v1",-0.758438837180217,1.84412875083187e-21,148,72,12
"RMDQ5_v1","SF12_M1_7_v1",-0.787641759852112,1.9614452597484e-23,148,72,12
"RMDQ5_v1","SF12_M1_8_v1",0.530833923222407,2.99921798554117e-10,148,72,12
"RMDQ5_v1","SF12_M1_9_v1",-0.467772834246321,3.97969404801809e-08,148,72,12
"RMDQ5_v1","SF12_M1_10_v1",-0.35727497310649,3.58048025296015e-05,148,72,12
"RMDQ5_v1","SF12_M1_11_v1",-0.522828092262116,5.8344390154702e-10,148,72,12
"RMDQ5_v1","SF12_M1_12_v1",-0.500322769367006,3.52665448070485e-09,148,72,12
