"","demonimador","numerador","Frequência","Qtd_0_Denom","Qtd_1_Denom","D0N0","D0N1","D1N0","D1N1"
"291","RMDQ22_v1","Aposentado","0.25","151","32","126","25","24","8"
"292","RMDQ23_v1","Aposentado","0.193548387096774","152","31","125","27","25","6"
"293","RMDQ24_v1","Aposentado","0.206896551724138","154","29","127","27","23","6"
"294","DN4_1a_v1","Aposentado","0.123456790123457","103","81","80","23","71","10"
"295","DN4_1b_v1","Aposentado","0.162790697674419","140","43","114","26","36","7"
"296","DN4_1c_v1","Aposentado","0.229166666666667","138","48","116","22","37","11"
"297","DN4_2a_v1","Aposentado","0.155555555555556","141","45","115","26","38","7"
"298","DN4_2b_v1","Aposentado","0.173076923076923","134","52","110","24","43","9"
"299","DN4_2c_v1","Aposentado","0.192307692307692","132","52","109","23","42","10"
"300","DN4_2d_v1","Aposentado","0.5","180","6","150","30","3","3"
"301","DN4_3a_v1","Aposentado","0.333333333333333","180","6","149","31","4","2"
"302","DN4_3b_v1","Aposentado","0.285714285714286","179","7","148","31","5","2"
"303","DN4_4_v1","Aposentado","0.4","181","5","150","31","3","2"
"304","Fuma","Desempregado","0.244444444444444","140","45","123","17","34","11"
"305","Cirurgia_coluna","Desempregado","0.208333333333333","108","72","99","9","57","15"
"306","Aposentado","Desempregado","0.305555555555556","161","36","142","19","25","11"
"307","Desempregado","Desempregado","1","167","30","167","0","0","30"
"308","Licenca_Medica","Desempregado","0.421052631578947","177","19","155","22","11","8"
"309","Aposentado_Invalidez","Desempregado","0.375","183","8","157","26","5","3"
"310","Analg.e9.sicos","Desempregado","0.144","64","125","54","10","107","18"
"311","OutraDoenca","Desempregado","0.2","121","70","105","16","56","14"
"312","Dor_costas","Desempregado","0.234782608695652","75","115","72","3","88","27"
"313","Dor_pernas","Desempregado","0.166666666666667","128","60","108","20","50","10"
"314","Retornar_trabalho","Desempregado","0.368421052631579","154","19","135","19","12","7"
"315","Masc","Desempregado","0.140625","69","128","57","12","110","18"
"316","Fem","Desempregado","0.173913043478261","128","69","110","18","57","12"
"317","Casado_Amasiado","Desempregado","0.109756097560976","104","82","87","17","73","9"
"318","Solteiro","Desempregado","0.177215189873418","107","79","95","12","65","14"
