"Binaria","Ordinal","rpb","pvalue","Bin_0","Bin_1","Missing"
"Lombalgia","Há quanto tempo em São Paulo se de outro local",0.691234834595945,0.00531943618688581,13,11,1
"Lombalgia","Quantidade de cirurgias na coluna",0.514526835671869,0.00285262007560319,23,28,95
"Lombalgia","Tempo com a dor nas costas",0.566037439084307,6.32164707437405e-08,69,62,11
"Lombalgia","Intensidade da dor nas pernas",0.503584403716498,2.86993700888403e-06,66,61,75
"Lombalgia","Intensidade da dor no momento",0.517612138072164,9.6870651541665e-07,69,62,0
"Lombalgia","SF12_M1_4_v1",-0.511817007450052,1.58842704489856e-06,68,61,103
"D32","Há quanto tempo em São Paulo se de outro local",0.625213908456854,0.0307420632462393,19,5,1
"D32","Tempo com dor que irradia p/ as pernas",0.529702692107509,2.54678368545898e-06,94,37,10
"D32","Intensidade da dor nas pernas",0.554999399540578,1.07700960468857e-06,91,36,75
"D34","SF12_M1_8_v1",0.588738142760442,0.0144827788117202,126,3,103
"D34","SF12_M1_9_v1",-0.622537389170845,0.00962243691260709,126,3,103
"D37","Intensidade da dor nas pernas",0.513445905348642,6.26522543839888e-05,105,22,75
"D38","Dor_costas_VAS",-0.52344197566382,0.03031757033219,125,3,53
"D38","Intensidade da dor nas pernas",0.576632794239509,0.0169369380826301,124,3,75
"D38","Oswestry7_v1",0.570752856489673,0.017852821299098,126,3,103
"D39","BPI_5_v1",0.50310983343763,0.000374858220657359,117,15,104
"D4","Ord_RMDQ",0.756057381450423,0.0126820991967197,68,2,65
"D43","SF12_M1_11_v1",-0.712067399027882,0.00294045326357104,126,3,103
"D43","SF12_M1_12_v1",-0.528824915620603,0.028439659140383,126,3,103
"D44","Há quanto tempo em São Paulo se de outro local",0.625213908456854,0.0307420632462393,19,5,1
"D44","Intensidade da dor nas pernas",0.579077685676314,2.75982667118611e-07,90,37,75
"D45","Intensidade da dor nas pernas",0.649895563157046,1.47898489777607e-05,115,12,75
"D46","Há quanto tempo em São Paulo se de outro local",0.831263820418788,0.00154931888609423,18,6,1
"D46","Intensidade da dor nas pernas",0.603862542389058,7.1991232500853e-08,90,37,75
"D47","Intensidade da dor nas pernas",0.662521651044601,9.74076193985794e-06,115,12,75
"D48","Há quanto tempo em São Paulo se de outro local",0.831263820418788,0.00154931888609423,18,6,1
"D48","Intensidade da dor nas pernas",0.636106987734161,1.75542308110872e-07,102,25,75
"D5","SF12_M1_2_v1",-0.520395691704281,0.0311159900115056,126,3,103
"D5","SF12_M1_3_v1",-0.56266719753958,0.0195768064462625,126,3,103
"D5","SF12_M1_5_v1",-0.555133270433532,0.0213106117116188,126,3,103
"D5","SF12_M1_6_v1",-0.524312338632248,0.0298469810472571,126,3,103
"D51","Oswestry2_v1",0.870798355153024,0.0160269908862056,128,1,103
"D51","Oswestry4_v1",0.847364318840166,0.0191784911192436,128,1,103
"D51","SF12_M1_6_v1",-0.717637462665631,0.0480011450142527,128,1,103
"D51","SF12_M1_7_v1",-0.714340670089442,0.049052683299087,128,1,103
"D53","Trabalho_Cansativo",0.585249270949004,0.0356917553178435,130,2,7
"D53","BPI - Habilidade de caminhar",-0.610217484717755,0.0400297322878527,82,2,71
"D53","SF12_M1_12_v1",-0.561381144427643,0.0447467623028051,127,2,103
"D9","Oswestry2_v1",0.870798355153024,0.0160269908862056,128,1,103
"D9","Oswestry4_v1",0.847364318840166,0.0191784911192436,128,1,103
"D9","SF12_M1_6_v1",-0.717637462665631,0.0480011450142527,128,1,103
"D9","SF12_M1_7_v1",-0.714340670089442,0.049052683299087,128,1,103
"RMDQ1_v1","Oswestry1_v1",0.690304601116283,7.97357220177759e-19,134,85,12
"RMDQ1_v1","Oswestry2_v1",0.758397099805433,2.50312457666286e-23,134,85,12
"RMDQ1_v1","Oswestry3_v1",0.544792064216921,1.53774021904764e-11,134,85,12
"RMDQ1_v1","Oswestry4_v1",0.659135002796276,5.05034347835306e-17,134,85,12
"RMDQ1_v1","Oswestry5_v1",0.54314889549463,1.79642311058711e-11,134,85,12
"RMDQ1_v1","Oswestry6_v1",0.606572782494942,2.67220171354612e-14,134,85,12
"RMDQ1_v1","Oswestry7_v1",0.655255666369463,8.2673088095762e-17,134,85,12
"RMDQ1_v1","Oswestry8_v1",0.812281545722546,1.48907892146397e-27,134,85,12
"RMDQ1_v1","Oswestry9_v1",0.724059334064894,5.94052371473619e-21,134,85,12
"RMDQ1_v1","Oswestry10_v1",0.826183251588517,9.32795280355794e-29,134,85,12
"RMDQ1_v1","Somatoria_Owestry",0.729086008833318,2.75412405969612e-21,134,85,12
"RMDQ1_v1","SF12_M1_1_v1",0.572338473086826,1.02511678098329e-12,134,85,12
"RMDQ1_v1","SF12_M1_2_v1",-0.61686473962772,8.36619150521016e-15,134,85,12
"RMDQ1_v1","SF12_M1_3_v1",-0.671372228695651,1.03189448561843e-17,134,85,12
"RMDQ1_v1","SF12_M1_4_v1",-0.516206780068894,2.09494954411773e-10,134,85,12
"RMDQ1_v1","SF12_M1_5_v1",-0.585395972124519,2.64960144447183e-13,134,85,12
"RMDQ1_v1","SF12_M1_8_v1",0.847868212620281,9.72797629075166e-31,134,85,12
"RMDQ1_v1","SF12_M1_9_v1",-0.812900778604667,1.31943574525931e-27,134,85,12
