"denominador","numerador","Frequência","P-value","Qtd_1_Denom","Qtd_0_Demon","D0N0","D0N1","D1N0","D1N1"
"RMDQ4_v1","RMDQ17_v1",0.351851851851852,0.00865561410133531,54,166,136,30,35,19
"RMDQ12_v1","RMDQ17_v1",0.75,5.5520928346739e-21,44,176,160,16,11,33
"RMDQ13_v1","RMDQ17_v1",0.739130434782609,2.92919435879067e-21,46,174,159,15,12,34
"RMDQ14_v1","RMDQ17_v1",0.673469387755102,7.87915863197901e-18,49,171,155,16,16,33
"RMDQ21_v1","RMDQ17_v1",0.75,3.09645348653985e-23,48,172,159,13,12,36
"Dor nas pernas","RMDQ19_v1",0.215384615384615,0.0413763918885079,65,123,110,13,51,14
"RMDQ4_v1","RMDQ21_v1",0.407407407407407,0.000106233965949975,54,166,140,26,32,22
"RMDQ6_v1","RMDQ21_v1",0.625,1.37369259993242e-17,56,164,151,13,21,35
"RMDQ13_v1","RMDQ21_v1",0.717391304347826,3.02717342793665e-20,46,174,159,15,13,33
"RMDQ14_v1","RMDQ21_v1",0.73469387755102,3.09645348653985e-23,49,171,159,12,13,36
"RMDQ17_v1","RMDQ21_v1",0.73469387755102,3.09645348653985e-23,49,171,159,12,13,36
"RMDQ4_v1","RMDQ22_v1",0.277777777777778,0.0187244284221641,54,166,143,23,39,15
